,lbda,hC,hD,hE,hpC,hpD,hpE,f,df,W,dW,Up,dUp,F,dF,Fcorr,dFcorr
91,0.455,0.7648306250000001,0.020929292602539055,0.0,2.2181250000000015,1.054835815429687,0.0,5.835306010617103,0.04023148390901032,1.110170722119809,0.0010982792202570563,-88.49617415254156,0.044634960774118625,14.465472854900346,0.09973211984757659,14.20638761782858,0.09976268012171702
92,0.46,0.7758154673647885,0.026611874999999997,0.0,2.1755506634140516,1.21921875,0.0,5.658555566718126,0.040237737629734885,1.1102204097628863,0.0011022659436728916,-86.75832529265469,0.044388386953612545,14.027316099511637,0.0997476225525279,13.768119914841186,0.09977838875551863
93,0.465,0.7865835674495748,0.033130663452148434,0.0,2.1314379053370613,1.3891131591796877,0.0,5.485359620702232,0.04024386650778337,1.1102685476363785,0.001106748783515523,-84.9717386692197,0.04403490418745908,13.597970791636898,0.09976281577784978,13.338667124585593,0.09979381572861383
94,0.47,0.7971273826381863,0.04051017578124993,0.0,2.085846968525019,1.5633105468749984,0.0,5.3158158146258,0.04024986517820852,1.1103149222722908,0.0011117167195004954,-83.13697750812484,0.0435852229668576,13.177678981738184,0.09977768622406846,12.91827177367501,0.09980894834713504
95,0.475,0.807439678221872,0.048768997192382736,0.0,2.0388407731897438,1.7406463623046862,0.0,5.150021110132052,0.04025572970301973,1.110359452626609,0.0011171553360324734,-81.25420149612168,0.04305030020649552,12.766681033562556,0.09979222412907449,12.507174406299402,0.09982377716128053
96,0.48,0.8175135407865768,0.05791999999999992,0.0,1.9904849169988712,1.9199999999999984,0.0,4.988072332619174,0.040261457292186456,1.1104021482856057,0.001123046817062871,-79.32342350898216,0.042440869425582735,12.365216973111492,0.09980642257650202,12.105615026563303,0.09983829525616124
97,0.485,0.8273423916002263,0.06797056335449211,0.0,1.9408476750758599,2.1002947998046864,0.0,4.830066260745177,0.04026704608189117,1.1104430738043365,0.0011293701559362775,-77.34470480617772,0.041767111235799945,11.973526710519588,0.09982027694602749,11.713833400015595,0.09985249770371821
98,0.49,0.8369199999999998,0.07892279296874992,0.0,1.89,2.2804980468749987,0.0,4.676099377660769,0.040272494955744975,1.1104823252568061,0.0011361015051898138,-75.31829686422833,0.04103845293445538,11.591849423371526,0.0998337844701708,11.332068489335404,0.09986638113071007
99,0.495,0.8462404967796157,0.0907737408447265,0.0,1.8380155218063892,2.4596209716796866,0.0,4.526267381678599,0.0402778033994197,1.1105200160582727,0.0011432146021134438,-73.24473969653289,0.04026345929203416,11.220422343672167,0.09984694387393453,10.960557272959988,0.09987994337734993
100,0.5,0.8552983875766048,0.10351562499999994,0.0,1.7849705479859577,2.6367187499999996,0.0,4.380664534817734,0.04028297138138856,1.1105562670227411,0.001150681216837398,-71.1249256830821,0.03944978138583991,10.859479142916307,0.09985975507916507,10.59953315235109,0.09989318322855896
101,0.505,0.8640885662595944,0.11713604919433589,0.0,1.730944063485452,2.810890502929687,0.0,4.2393829107943155,0.04028799925411657,1.1105911976862464,0.0011584715844985749,-68.96013664560554,0.038604149494098974,10.50924806788981,0.09987221895960813,10.249224107162568,0.09990610020226476
102,0.51,0.8726063283155825,0.13161822265624998,0.0,1.6760177307074435,2.9812792968749995,0.0,4.102511589501255,0.040292887671569036,1.110624918495994,0.0011665547985080264,-66.75206086761375,0.03773240452199699,10.169949943819411,0.09988433713641554,9.909850715820546,0.09991869438110282
103,0.515,0.8808473842372226,0.1469411798095703,0.0,1.6202758895103229,3.1470721435546873,0.0,3.9701358325260596,0.04029763752001652,1.1106575246841994,0.0011748991550347954,-64.50279572842182,0.0368395602171165,9.841796130516814,0.09989611180661397,9.581624125334917,0.09993096627628609
104,0.52,0.8888078729100976,0.16307999999999997,0.0,1.5638055572083065,3.3075,0.0,3.8423362639637197,0.04030224985991701,1.1106890925647641,0.0011834724483206827,-62.21484047581733,0.03592988516621663,9.524986491649049,0.09990754559903321,9.26474402882778,0.09994291671541256
105,0.525,0.8964843750000003,0.1800060272216797,0.0,1.5066964285714293,3.4618377685546875,0.0,3.7191880728023214,0.040306725877208495,1.110719678375074,0.0011922422223563478,-59.89108254596775,0.03500699375793735,9.219707417486681,0.09991864145356256,8.959396690858705,0.09995454674885138
106,0.53,0.9038739263402156,0.19768708984375,0.0,1.4490408758255475,3.609404296875,0.0,3.60076024725665,0.04031106684284655,1.110749319236561,0.0012011759872875955,-57.5347799136806,0.0340739379769139,8.926129926849713,0.09992940252084628,8.665753047219349,0.09996585757184549
107,0.535,0.9109740313187955,0.21608772033691412,0.0,1.3909339486523453,3.7495623779296876,0.0,3.4871148471502202,0.0403152740796739,1.1107780355509576,0.0012102414093926824,-55.14954126686603,0.03313329496426615,8.644407863373903,0.09993983208015464,8.383966895845376,0.09997685046082856
108,0.54,0.917782676265842,0.23516937500000004,0.0,1.3324733741893255,3.8817187500000006,0.0,3.3783063173571026,0.04031934893596857,1.1108058341512272,0.0012194064823532812,-52.73930529958449,0.03218724766807265,8.374676193562554,0.09994993347381094,8.114173187831016,0.09998752672335423
109,0.545,0.9242983428407809,0.25489065368652347,0.0,1.2737595570298081,4.005324096679688,0.0,3.2743808430981822,0.040323292765193204,1.1108327116693997,0.0012286396856079794,-50.30832004301328,0.031237657476088435,8.11704940859364,0.09995971005699089,7.856486421716439,0.09999788766141078
